system   D            wsystem.c:583  maybe_parent_dir                 [   0.00050] Also searching C:\Users\Koriantor\documents\visual studio 2010\Projects\Stellar Combat\
display  D   display_settings.c:357  _al_score_display_settings       [   0.06997] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06999] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07001] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.07004] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07006] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07008] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07010] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07013] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07015] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07017] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07019] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.07022] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.07024] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.07026] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.07028] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.07030] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.07033] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07035] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07037] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.07039] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.07042] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.07044] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.07046] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.07048] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.07051] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07053] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07055] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.07058] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.07060] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.07062] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.07064] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.07066] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.07069] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07071] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07073] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.07075] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.07078] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.07080] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.07082] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.07085] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.07087] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07089] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07092] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.07094] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.07096] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.07098] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.07101] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.07103] Score is : 585
display  D   display_settings.c:357  _al_score_display_settings       [   0.07105] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07107] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07110] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07112] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07114] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07117] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07119] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07121] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07124] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07126] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07128] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07130] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07133] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07135] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07137] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07140] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07142] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07144] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07147] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07149] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07151] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07154] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07156] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07158] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07161] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07163] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07167] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07170] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07172] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07175] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07180] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07182] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07185] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07187] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07189] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07192] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07194] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07196] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07198] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07201] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07203] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07205] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07208] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07210] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07212] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.07215] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07217] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07219] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07221] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07224] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07226] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07228] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07230] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07233] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07235] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.07237] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.07239] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.07242] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.07244] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.07246] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.07248] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07251] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07253] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.07255] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.07258] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.07260] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.07262] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.07265] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.07267] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07269] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07271] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.07274] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.07276] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.07278] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.07280] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.07283] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.07285] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07287] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07289] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.07292] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.07294] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.07296] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.07298] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.07301] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.07303] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07305] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07307] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.07310] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.07312] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.07314] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.07316] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.07319] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.07321] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07323] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07325] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.07328] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.07330] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.07332] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.07334] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.07337] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.07339] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07341] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07343] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.07346] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.07348] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.07351] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.07353] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.07355] Score is : 713
display  D   display_settings.c:357  _al_score_display_settings       [   0.07358] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07360] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07362] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07365] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07367] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07369] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07372] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07374] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07377] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07379] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07381] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07383] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07386] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07388] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07390] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07393] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07395] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07397] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07400] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07402] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07404] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07407] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07409] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07411] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07413] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07416] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07418] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07420] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07423] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07425] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07427] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07430] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07432] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07435] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07437] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07439] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07442] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07444] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07446] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07449] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07451] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07453] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07457] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07460] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07462] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07464] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07467] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07469] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07471] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07473] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07476] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07478] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07480] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07483] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07485] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07487] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07490] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07492] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07494] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07497] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07499] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07501] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07503] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.07506] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07508] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07510] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07513] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07517] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07520] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07644] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07647] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07650] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07652] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.07654] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.07657] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.07659] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.07661] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.07663] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.07666] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07668] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07670] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.07673] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.07675] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.07677] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.07679] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.07682] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.07684] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07686] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07688] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.07691] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.07693] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.07695] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.07697] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.07700] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.07702] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07704] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07706] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.07709] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.07711] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.07713] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.07715] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.07718] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.07720] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07722] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07725] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.07727] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.07729] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.07731] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.07734] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.07736] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.07739] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07741] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07743] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.07746] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.07748] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.07750] Score is : 587
